1390.83825453,1,-108691.703125,-78524.5625,-57074.9765625,116251.46875,-77121.40625,6777.16064453,-57086.8242188,99933.6015625
1390.84071525,2,-108524.085938,-78356.296875,-56972.3828125,115523.273438,-77011.5078125,6903.71630859,-56994.5117188,99146.703125
1390.84298556,3,-108175.085938,-77991.46875,-56687.3320312,113711.414062,-76823.8359375,7024.57226562,-57003.3632812,97303.0
1390.86733297,4,-108120.234375,-77920.953125,-56606.4648438,113303.070312,-76813.0859375,6978.66162109,-57099.4296875,96933.6796875
1390.87086843,5,-108432.914062,-78242.859375,-56843.7929688,114960.070312,-76978.9609375,6847.99316406,-57123.0117188,98649.5546875
1390.87346935,6,-108660.460938,-78482.765625,-57049.6523438,116316.398438,-77075.875,6831.609375,-57032.890625,100000.921875
1390.87589106,7,-108486.273438,-78312.0625,-56942.34375,115569.898438,-76962.2890625,6959.10400391,-56941.3164062,99198.7421875
1390.8784147,8,-108136.0,-77949.1640625,-56655.9296875,113764.75,-76773.015625,7081.546875,-56948.8242188,97357.4296875
1390.88077881,9,-108066.234375,-77866.546875,-56553.1328125,113340.109375,-76740.21875,7055.64111328,-57024.5742188,96963.9921875
1390.88319578,10,-108365.4375,-78183.5,-56778.8398438,114983.09375,-76898.609375,6929.46533203,-57042.078125,98662.546875
1390.88538301,11,-108614.414062,-78443.984375,-57014.6523438,116346.4375,-77029.5,6874.77050781,-56987.984375,100022.226562
1390.88783415,12,-108451.539062,-78278.1796875,-56913.5976562,115606.421875,-76921.40625,6998.24169922,-56903.9414062,99229.1640625
1390.89145715,13,-108104.835938,-77913.3046875,-56619.1796875,113805.226562,-76723.4609375,7133.29101562,-56902.9804688,97390.6875
1390.8946623,14,-108057.070312,-77848.21875,-56539.6328125,113430.859375,-76716.0390625,7084.81005859,-57000.9921875,97052.1015625
1390.89725875,15,-108387.703125,-78186.5546875,-56797.4804688,115104.53125,-76908.1953125,6928.45947266,-57047.4648438,98784.3828125
1390.89965239,16,-108602.117188,-78410.90625,-56985.4375,116382.359375,-76988.7734375,6925.35253906,-56947.4179688,100058.726562
1390.90534033,17,-108429.296875,-78235.578125,-56874.7070312,115620.117188,-76874.2421875,7054.41162109,-56859.0585938,99243.3984375
1390.9077584,18,-108092.859375,-77874.9765625,-56588.2929688,113846.507812,-76685.84375,7177.8828125,-56868.4257812,97433.3359375
1390.92783171,19,-108041.109375,-77802.0859375,-56497.5429688,113475.359375,-76662.484375,7143.19287109,-56950.3242188,97096.0703125
1390.92977035,20,-108359.085938,-78128.421875,-56741.109375,115117.023438,-76835.59375,7002.44384766,-56982.1523438,98791.8046875
1390.93188555,21,-108578.023438,-78356.1640625,-56938.3867188,116388.570312,-76926.34375,6988.63037109,-56892.8554688,100055.28125
1390.93377179,22,-108396.484375,-78173.6171875,-56817.6445312,115590.703125,-76800.5703125,7126.02685547,-56796.5429688,99204.1953125
1390.9356871,23,-108047.882812,-77806.109375,-56518.4882812,113800.171875,-76599.5859375,7257.43261719,-56796.09375,97378.8203125
1390.93759449,24,-108023.296875,-77760.3984375,-56459.5,113487.515625,-76613.0859375,7187.51611328,-56908.3476562,97103.265625
1390.93985099,25,-108364.835938,-78107.3203125,-56725.171875,115185.867188,-76810.203125,7026.94140625,-56957.8984375,98857.046875
1390.94200614,26,-108582.429688,-78328.578125,-56916.796875,116439.539062,-76899.296875,7015.87744141,-56870.5273438,100103.273438
1390.94379561,27,-108390.5625,-78134.296875,-56782.796875,115624.390625,-76762.6875,7165.03027344,-56765.765625,99237.703125
1390.94559113,28,-108078.773438,-77797.5703125,-56526.8007812,113886.429688,-76609.734375,7251.41992188,-56808.2773438,97474.2578125
1390.94737409,29,-108052.851562,-77745.0,-56455.4101562,113566.0625,-76605.5078125,7202.22363281,-56901.9765625,97190.8359375
1390.94923002,30,-108363.289062,-78065.234375,-56688.671875,115233.140625,-76766.484375,7078.95410156,-56917.6875,98909.484375
1390.95109205,31,-108579.632812,-78286.5859375,-56887.8046875,116462.515625,-76864.96875,7056.51269531,-56843.2578125,100129.375
1390.95285261,32,-108410.96875,-78109.359375,-56777.2304688,115664.0,-76756.15625,7177.43554688,-56764.4023438,99279.140625
1390.95460058,33,-108066.304688,-77741.4453125,-56478.6328125,113885.851562,-76557.359375,7309.48974609,-56759.5742188,97468.4453125
1390.98994868,34,-108051.796875,-77701.125,-56424.6523438,113600.375,-76571.3984375,7240.53466797,-56868.9179688,97218.7578125
1390.99190518,35,-108379.164062,-78035.0546875,-56674.1015625,115292.664062,-76746.1875,7104.63623047,-56894.2851562,98964.09375
1390.99364424,36,-108577.757812,-78239.7578125,-56850.5664062,116481.445312,-76820.0390625,7108.59228516,-56795.7148438,100143.882812
1390.99537564,37,-108401.21875,-78057.6328125,-56734.8515625,115655.546875,-76711.34375,7229.13525391,-56718.0898438,99269.5546875
1390.99711928,38,-108061.210938,-77694.3984375,-56439.8085938,113870.3125,-76522.4453125,7351.62304688,-56727.3632812,97450.390625
1390.99885833,39,-108024.570312,-77642.09375,-56361.0195312,113587.789062,-76508.9296875,7312.86474609,-56810.265625,97200.453125
1391.00066578,40,-108365.1875,-77994.1328125,-56628.390625,115328.898438,-76700.8828125,7162.01318359,-56846.7890625,99005.375
1391.00240754,41,-108587.367188,-78220.9140625,-56830.0039062,116567.054688,-76801.53125,7141.78466797,-56769.8085938,100235.929688
1391.00415899,42,-108412.375,-78035.6171875,-56714.109375,115718.242188,-76690.2890625,7262.72998047,-56697.5898438,99332.15625
